locked_world
1
added_wilds
700
type	added_count	min_level	max_level
forest	100	1	6
hill	100	1	6
rarefactory	100	1	6
swamp	100	1	6
oil	100	1	6
ironworks	100	1	6
grainfield	100	1	6
id	type	x	y	level	total_res	garrison
1110	swamp	129	10	6	0	{"armored":30}
1111	rarefactory	129	26	1	800	{"infantry":5}
1112	grainfield	129	55	3	2400	{"ltank":15}
1113	hill	129	74	3	0	{"motor":15}
1114	ironworks	129	81	3	2400	{"infantry":15}
1115	rarefactory	129	86	1	800	{"armored":5}
1116	oil	129	163	2	1600	{"ltank":10}
1117	forest	129	167	2	0	{"ltank":10}
1118	ironworks	130	7	6	4800	{"armored":30}
1119	swamp	130	33	6	0	{"armored":30}
1120	rarefactory	130	157	3	2400	{"armored":15}
1121	forest	131	11	3	0	{"motor":15}
1122	forest	131	35	5	0	{"infantry":25}
1123	ironworks	131	87	1	800	{"ltank":5}
1124	forest	131	171	6	0	{"motor":30}
1125	forest	132	137	2	0	{"ltank":10}
1126	rarefactory	132	145	3	2400	{"armored":15}
1127	swamp	133	98	4	0	{"ltank":20}
1128	forest	133	102	3	0	{"infantry":15}
1129	rarefactory	133	162	6	4800	{"ltank":30}
1130	hill	134	2	6	0	{"armored":30}
1131	oil	134	21	6	4800	{"ltank":30}
1132	ironworks	134	48	1	800	{"infantry":5}
1133	hill	134	74	2	0	{"ltank":10}
1134	swamp	135	0	5	0	{"motor":25}
1135	oil	135	100	2	1600	{"infantry":10}
1136	hill	135	115	4	0	{"infantry":20}
1137	grainfield	135	121	6	4800	{"ltank":30}
1138	rarefactory	135	177	3	2400	{"motor":15}
1139	oil	136	123	2	1600	{"motor":10}
1140	hill	136	134	4	0	{"infantry":20}
1141	oil	136	154	5	4000	{"infantry":25}
1142	grainfield	137	2	5	4000	{"armored":25}
1143	grainfield	137	28	3	2400	{"infantry":15}
1144	rarefactory	137	42	3	2400	{"motor":15}
1145	ironworks	137	100	1	800	{"ltank":5}
1146	swamp	137	107	5	0	{"infantry":25}
1147	ironworks	137	130	6	4800	{"motor":30}
1148	grainfield	138	26	1	800	{"motor":5}
1149	rarefactory	138	126	5	4000	{"infantry":25}
1150	forest	138	145	1	0	{"infantry":5}
1151	forest	138	165	2	0	{"infantry":10}
1152	oil	139	80	5	4000	{"ltank":25}
1153	hill	140	3	6	0	{"motor":30}
1154	hill	140	31	4	0	{"motor":20}
1155	oil	140	35	3	2400	{"motor":15}
1156	ironworks	140	43	6	4800	{"motor":30}
1157	ironworks	140	51	2	1600	{"armored":10}
1158	swamp	140	62	4	0	{"ltank":20}
1159	grainfield	141	105	6	4800	{"motor":30}
1160	ironworks	142	14	3	2400	{"ltank":15}
1161	ironworks	142	39	3	2400	{"ltank":15}
1162	ironworks	142	77	4	3200	{"armored":20}
1163	swamp	142	153	1	0	{"armored":5}
1164	forest	143	29	1	0	{"ltank":5}
1165	forest	143	157	2	0	{"ltank":10}
1166	forest	143	164	1	0	{"infantry":5}
1167	hill	144	13	1	0	{"armored":5}
1168	rarefactory	144	19	3	2400	{"motor":15}
1169	forest	144	26	4	0	{"motor":20}
1170	oil	145	53	3	2400	{"infantry":15}
1171	forest	145	107	4	0	{"motor":20}
1172	forest	145	110	6	0	{"ltank":30}
1173	swamp	146	19	1	0	{"armored":5}
1174	ironworks	146	143	1	800	{"motor":5}
1175	forest	146	149	4	0	{"ltank":20}
1176	ironworks	146	156	2	1600	{"infantry":10}
1177	oil	147	17	6	4800	{"armored":30}
1178	grainfield	147	70	4	3200	{"armored":20}
1179	ironworks	147	74	1	800	{"ltank":5}
1180	hill	149	0	2	0	{"ltank":10}
1181	rarefactory	149	50	5	4000	{"ltank":25}
1182	forest	149	132	2	0	{"infantry":10}
1183	forest	150	17	1	0	{"armored":5}
1184	rarefactory	150	33	6	4800	{"armored":30}
1185	swamp	150	126	3	0	{"armored":15}
1186	rarefactory	151	0	3	2400	{"infantry":15}
1187	rarefactory	151	6	5	4000	{"infantry":25}
1188	forest	151	30	1	0	{"infantry":5}
1189	grainfield	152	10	3	2400	{"armored":15}
1190	ironworks	152	14	6	4800	{"ltank":30}
1191	rarefactory	152	32	4	3200	{"infantry":20}
1192	oil	152	35	5	4000	{"motor":25}
1193	grainfield	152	48	4	3200	{"ltank":20}
1194	swamp	152	128	6	0	{"armored":30}
1195	hill	152	139	3	0	{"infantry":15}
1196	hill	152	179	3	0	{"ltank":15}
1197	ironworks	153	23	2	1600	{"infantry":10}
1198	hill	153	170	5	0	{"infantry":25}
1199	forest	154	0	3	0	{"ltank":15}
1200	forest	154	42	5	0	{"armored":25}
1201	ironworks	154	140	5	4000	{"motor":25}
1202	hill	156	146	6	0	{"infantry":30}
1203	hill	157	24	1	0	{"ltank":5}
1204	ironworks	157	33	5	4000	{"armored":25}
1205	hill	157	47	2	0	{"armored":10}
1206	oil	158	140	4	3200	{"ltank":20}
1207	hill	159	35	3	0	{"ltank":15}
1208	rarefactory	159	134	6	4800	{"motor":30}
1209	oil	161	41	2	1600	{"armored":10}
1210	oil	163	10	1	800	{"ltank":5}
1211	ironworks	163	20	6	4800	{"armored":30}
1212	forest	164	135	3	0	{"motor":15}
1213	grainfield	165	23	2	1600	{"armored":10}
1214	forest	165	25	4	0	{"armored":20}
1215	ironworks	165	42	4	3200	{"infantry":20}
1216	hill	166	17	2	0	{"motor":10}
1217	grainfield	167	37	1	800	{"motor":5}
1218	ironworks	170	11	5	4000	{"armored":25}
1219	oil	181	79	1	800	{"motor":5}
1220	ironworks	183	84	4	3200	{"ltank":20}
